"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000064120",1615.73157073484,0.320976932099863,0.281944219120975,1.13844126012082,0.254936273499042,0.72136066750112
"ENSMUSG00000040260",438.10788320677,-0.111416354555764,0.368089701415022,-0.30268805165549,0.762127604299385,0.955897513746319
"ENSMUSG00000023999",51.5921502836887,-0.117844078295368,0.511930275118066,-0.230195563777099,0.817939808899246,0.965272607109867
"ENSMUSG00000039316",1401.408628509,0.981360976711251,0.345132426679922,2.84343313131041,0.00446303734077227,0.0776612685782897
"ENSMUSG00000038910",19.8143409869712,-0.957884726588569,0.818449771521827,-1.17036470644677,0.241854232401789,0.704527763939949
"ENSMUSG00000044645",4.3993476288682,0.0378832728150955,1.12474532997637,0.0336816449070221,0.973131015909783,0.994289727609699
"ENSMUSG00000023923",2310.49592168638,-0.499891844145836,0.273083956072004,-1.83054270685177,0.0671688268024901,0.390762042718889
"ENSMUSG00000023927",8.89622862061192,1.48228095190001,0.99646472140969,1.48753981957639,0.1368722944536,0.558827102159602
"ENSMUSG00000023931",5.22426906952906,-0.479308070325861,0.962255444967735,-0.498108971824974,0.618407237251602,0.918002412850031
"ENSMUSG00000017831",2476.11541868685,-0.128953369460533,0.229230340970501,-0.56254930701834,0.573741819353241,0.90297416272349
"ENSMUSG00000044957",4.60461056469679,-0.560019648475123,0.984322315755509,-0.568939299161662,0.569397334368297,0.901657939534004
"ENSMUSG00000000708",1388.6830074049,-0.118590572953801,0.368870829143385,-0.321496208386007,0.747834385153569,0.951784294233759
"ENSMUSG00000023940",51.9049736698655,-0.0568685271319984,0.739107936379416,-0.0769421140443624,0.938669594665424,0.987376016811679
"ENSMUSG00000024174",202.85551950544,0.0599028513743801,0.371621702908955,0.161193092075831,0.871941321697637,0.976178571229808
"ENSMUSG00000057835",105.933683712307,0.198596846832163,0.328999272882908,0.603639166408871,0.54608356719808,0.892687223104649
"ENSMUSG00000003198",109.355766886026,0.0280470665269851,0.354575210748368,0.0791004719923564,0.936952708095689,0.986920014713516
"ENSMUSG00000059912",4.99600945000226,-0.769635567267935,0.924214801688025,-0.832745337839472,0.404988368969462,0.824209733117753
"ENSMUSG00000062101",75.2824131528571,-0.557706135278274,0.311074883477365,-1.79283563187079,0.0729992101677207,0.41094206236313
"ENSMUSG00000097077",11.1917284105004,-0.0796847274252365,0.681267598235244,-0.116965385748055,0.906887483327458,0.982233028507401
"ENSMUSG00000003208",221.219034456879,-0.157554247958696,0.322087938565195,-0.489165315101685,0.624724663252963,0.920638601095994
"ENSMUSG00000039154",4.04512991906082,0.87009615716987,1.11948122760087,0.777231574516483,0.437022156815618,0.843585445913802
"ENSMUSG00000011589",10.752601760134,2.3374623560823,0.969279837014532,2.41154542457201,0.0158850729520609,0.176138900399035
"ENSMUSG00000038781",27.3923267578684,0.129948912569614,0.532381095122577,0.244090020776741,0.807161101107673,0.964159125547866
"ENSMUSG00000003199",992.371700968712,-0.311081411267849,0.324581857880888,-0.95840665063297,0.337857742920551,0.784465669997639
"ENSMUSG00000003200",3125.68260018325,-0.0992257900369444,0.228940610126781,-0.433412796366691,0.664714905788362,0.932925598063236
"ENSMUSG00000002835",343.81262628022,0.172074162130648,0.476534460893419,0.361094897120428,0.718028507783934,0.943423941467366
"ENSMUSG00000019578",1928.97388763609,-0.138902074163821,0.206897893145179,-0.671355672367116,0.501993976553825,0.872914231516125
"ENSMUSG00000002833",1929.47143611074,-0.0415460486240576,0.197887427518615,-0.209947893835496,0.833708341272536,0.96822738910496
"ENSMUSG00000002831",50.5895988443692,0.467085619408296,0.447758083195603,1.04316513076605,0.296871819914789,0.75545418716791
"ENSMUSG00000011305",4.813392094468,1.06674829231573,1.12922308672216,0.944674533189208,0.344825062485477,0.788417634107672
"ENSMUSG00000037095",8.12725152383795,3.39283355691661,1.00569317012616,3.37362692489102,0.000741848368020836,0.0233675185977063
"ENSMUSG00000001227",60.681362136492,-1.15826896983037,0.936626118814537,-1.23663962232482,0.216220903161952,0.67749730309704
"ENSMUSG00000044469",7.19213814576229,0.683463289022843,0.809985969095861,0.843796454629642,0.398783157015853,0.820325814955047
"ENSMUSG00000019579",1546.89733370409,-0.157519326758659,0.279537502838607,-0.563499799343934,0.573094596687913,0.902740332968973
"ENSMUSG00000001229",2029.36861820012,0.284931442118961,0.282309052603884,1.00928907341401,0.312836018815067,0.768211964604556
"ENSMUSG00000043683",770.210296468552,0.355788135413442,0.310123962507636,1.14724490341401,0.251280418003807,0.715673350313375
"ENSMUSG00000047123",1104.01004937115,-0.382202555504355,0.325998598292159,-1.17240551801952,0.241034285151841,0.704151855309774
"ENSMUSG00000024197",4014.78977647566,-0.199529127587893,0.253128288661634,-0.788252978925682,0.43054874570853,0.838901796654924
"ENSMUSG00000001228",202.523867336746,-0.657445654982251,0.833990817462483,-0.788312822175438,0.430513749409242,0.838901796654924
"ENSMUSG00000024201",2036.8355293029,-0.744779620726751,0.45208570963327,-1.64743013295181,0.0994696659598479,0.479904024884493
"ENSMUSG00000013236",15149.118849568,0.11975336730711,0.230690628435694,0.51910807178928,0.603685379804402,0.912825479657779
"ENSMUSG00000042625",2918.38272720851,-0.436238058572621,0.392613072776395,-1.11111445038681,0.266519088633765,0.729606383604117
"ENSMUSG00000071054",2932.4433493709,-0.239733363242144,0.245407797101598,-0.976877532309597,0.328629786089645,0.777030605479014
"ENSMUSG00000049760",1365.2423735683,-0.215043051864579,0.211027518745878,-1.01902848094204,0.308189445462799,0.763242252733498
"ENSMUSG00000057863",200.919192384681,-0.543697306196079,0.374827965547121,-1.45052492388732,0.146912194050125,0.575307890024719
"ENSMUSG00000041168",5861.32650740108,-0.611786350881477,0.270675731913298,-2.2602186999071,0.0238076808296617,0.225563337240596
"ENSMUSG00000040828",39.3054676857055,-0.53849410688418,0.631952454733818,-0.852111741714806,0.394152075637858,0.817878342877034
"ENSMUSG00000002372",1856.12385929927,0.117273130227777,0.250677406196968,0.467824890990099,0.639909818988662,0.924976687648922
"ENSMUSG00000054723",972.340258597956,0.00149591296796627,0.347271662303575,0.00430761599735306,0.996563030330995,0.998950279933111
"ENSMUSG00000002379",1601.67385434354,0.358956799826337,0.287491066391652,1.24858418848162,0.211817198443818,0.672122876660199
"ENSMUSG00000039481",24.0567260557908,0.708472067148436,0.577357566441939,1.22709410654218,0.21978722268775,0.682583798113785
"ENSMUSG00000007603",762.220324552674,-0.34700997144751,0.228701104577164,-1.51730780701336,0.129188988039783,0.543226309236973
"ENSMUSG00000090273",6.9967820155598,-0.499476176295414,0.849696829947515,-0.587828692177498,0.556647283274107,0.896304493480891
"ENSMUSG00000024206",47.4765882682311,-0.278405600265775,0.460947259471582,-0.60398580216082,0.545853081593261,0.892546889370087
